,제목,채널 명,스트리밍 시작 시간,댓글 작성자,댓글 내용,댓글 작성 시간
0,[LIVE/JTBC 뉴스] 12월 13일 (일)  뉴스룸 - 확진자 1030명…처음 1천명 넘어,JTBC News,2020-12-13 07:47:26Z,pry rpnt,2020-12-13 19:35:56,같은 칸에 탄자들은 밀접접촉 아니라구? pry rpnt ​천명 확진자중에서 지하철 이용자 없다구?
0,[LIVE/JTBC 뉴스] 12월 13일 (일)  뉴스룸 - 확진자 1030명…처음 1천명 넘어,JTBC News,2020-12-13 07:47:26Z,pry rpnt,2020-12-13 19:36:01,같은 칸에 탄자들은 밀접접촉 아니라구? pry rpnt ​천명 확진자중에서 지하철 이용자 없다구?
